ID,Locality,Assemblage,GeoLayer.Name,Country,Locality.Type,X,Y,Technocomplex,Geostrat..Info..age.min,Geostrat..Info..age.max,Geostrat..Info..correlation,Geostrat..Info..mis,NISP.Sum.class.Mammalia,NISP.Sum.order.Rodentia,NISP.Sum.family.Anatidae,Alces_NISP,Bison_NISP,Bos_NISP,Canis_NISP,Capra_NISP,Capreolus_NISP,Cervus_NISP,Coelodonta_NISP,Dama_NISP,Equus_NISP,Mammuthus_NISP,Megaloceros_NISP,Ovibos_NISP,Ovis_NISP,Palaeoloxodon_NISP,Rangifer_NISP,Saiga_NISP,Stephanorhinus_NISP,Sus_NISP,Ursus_NISP,Panthera_NISP,meanage,sdage,totalNISP,millie,RD_Suitability
8563,Riparo Bombrini,Riparo Bombrini Layer A2 Fauna,Unit A2,Italy,cave,7.535117,43.783844,UP/ Proto-Aurignacian,36000,40000,"14C (radiocarbon) dating, geology (based on position of layers)",NA,37,0,NA,0,0.21622,0.21622,0,0,0,0.16216,0,0.02703,0,0,0,0,0,0,0,0,0,0.02703,0,0,36458,1,37,36000,NA
8601,Riparo del Poggio,Riparo del Poggio Layer 17 fauna,Unit 17,Italy,hill slope,15.387452,39.997665,MP/ Mousterian - Eurasia,102800,120800,TL (thermoluminescence) dating,5,3,0,NA,0,0,0,0,0,0,0.33333,0,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,111800,1,3,112000,NA
8633,Sainte-Anne I,Sainte-Anne I Layer J1 fauna,Unit J1,France,cave,3.83552,45.071273,MP/ Middle Paleolithic - Eurasia,126000,190000,"geology (based on position of layers), biostratigraphy (large mammal), ESR (electron spin resonance) dating, U series (uranium-thorium) dating",6,119,0,NA,0,0,0,0.01681,0.06723,0.0084,0.04202,0,0,0.45378,0,0,0,0,0,0.28571,0,0,0,0,0,91550,0.950926875,119,92000,NA
8970,Tabun Cave,Tabun B Fauna,Layer B,Israel,cave,34.966108,32.670533,MP/ Mousterian - Levant,85000,138000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating",NA,2327,13,NA,0,0,0.02118,0.00259,0.00908,0.0013,0.00735,0,0.74719,0.01858,0,0,0,0,0,0,0,0,0.00389,0,0.02074,112307,0.997576629,2314,112000,NA
8971,Tabun Cave,Tabun C Fauna,Layer C,Israel,cave,34.966108,32.670533,MP/ Mousterian - Levant,104000,195000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating, U series (uranium-thorium) dating",NA,511,0,NA,0,0,0.19569,0,0.02935,0,0.0411,0,0.08415,0.02935,0,0,0,0,0,0,0,0,0.10372,0.02935,0.00391,128211,0.954135651,511,128000,NA
8977,Tam Hay Marklot Cave,"THM, Fauna",Layer Sc,Laos,cave,103.38025,20.448167,,13500,38400,U series (uranium-thorium) dating,NA,1209,0,NA,0,0,0.05873,0,0,0,0.02233,0,0,0,0,0,0,0,0,0,0,0,0.25476,0.01406,0.0091,37400,0.375,1209,37000,NA
8978,Tam Hay Marklot Cave,"THM, micromammals",Layer Sc,Laos,cave,103.38025,20.448167,,13500,38400,U series (uranium-thorium) dating,NA,151,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37400,0.75,0,37000,NA
8979,Tam Ngu Hao,"TNH, LU2, Fauna",LU2,Laos,cave,103.408944,20.211528,,131000,164000,"ESR (electron spin resonance) dating, IRSL post-IR (post-infrared infrared stimulated luminescence) dating, U series (uranium-thorium) dating",NA,186,18,NA,0,0,0.20833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24405,0.01786,0,143231,0.983454976,168,143000,NA
8980,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 1,Laos,cave,103.4097,20.2087,,43000,53000,"OSL (optically stimulated thermoluminescence) dating, 14C (radiocarbon) dating",NA,249,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,0.999999989,0,48000,NA
9259,Walou,B-5 micromammals,B5,Belgium,cave,5.695961,50.591419,UP/ Gravettian,20580,26309,14C (radiocarbon) dating,2,62,47,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27203,1,15,27000,0.640497208
9260,Walou,CI-1 micromammals,CI-1,Belgium,cave,5.695961,50.591419,UP/ Aurignacian,28830,30560,14C (radiocarbon) dating,45718,93,76,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34210,1,17,34000,0.587634563
9262,Walou,CI-4/5 micromammals,CI-4,Belgium,cave,5.695961,50.591419,,32040,35620,14C (radiocarbon) dating,3,15,13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39725,1,2,40000,0.565209329
9394,Zaskalnaya VI,Zaskalnaya VI layer III Fauna,layer 6,Ukraine,cave,34.66,45.16,UP/ Upper Paleolithic - Eurasia,34000,39000,14C (radiocarbon) dating,NA,642,6,1,0,0,0,0.00629,0,0,0.00157,0.00629,0,0.10377,0.67138,0.00314,0,0,0,0.00943,0.1934,0,0,0,0,42339,1,636,42000,0.332132429
9395,Zaskalnaya VI,Zaskalnaya VI layer IIIa Fauna,layer 7,Ukraine,cave,34.66,45.16,MP/ Mousterian - Eurasia,30000,42000,14C (radiocarbon) dating,NA,63,0,NA,0,0,0,0,0,0,0.01587,0,0,0.03175,0.31746,0,0,0,0,0,0.61905,0,0,0,0,42790,1,63,43000,0.324329793
9411,Zhoukoudian Upper Cave,Zhoukoudian Upper Cave,Layer 1,China,cave,115.92411,39.69372,UP/ Upper Paleolithic - E Asia,29630,30820,14C (radiocarbon) dating,NA,890,0,NA,0,0,0.00449,0.00225,0,0,0.65393,0,0,0,0,0,0,0,0,0,0,0,0.01124,0.01124,0.05056,34533,0.669245065,890,35000,0.051430792
9416,Zhoukoudian Upper Cave,Zhoukoudian Upper Cave 1940,Layer 1,China,cave,115.92411,39.69372,UP/ Upper Paleolithic - E Asia,29630,30820,14C (radiocarbon) dating,NA,791,0,NA,0,0,0.00506,0.00253,0,0,0.73578,0,0,0,0,0,0,0,0,0,0,0,0.01138,0.01138,0.05689,34533,1,791,35000,0.051430792
